gid,match_id,match_name,class_name,start_date,balls,pitchmap_balls,beehive_balls,wagon_balls,catch_map_balls,has_tracking,match_status,path
800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",Women's minor one-day,2025-06-24,620,0,0,345,7,False,complete,ODI/women_domestic/800c9fb3-bd99-4f92-81ff-581a6753ae59.csv
a62fc63a-1163-4615-a4c6-a833b435b497,229344,"England v India at Chester-le-Street, 1st T20I, 1 Jul 2026",Twenty20 international,2026-07-01,122,120,120,90,2,True,complete,T20/men_international/a62fc63a-1163-4615-a4c6-a833b435b497.csv
7f55920d-9090-409a-8bf8-74514cc171b5,228887,"Australia Women v West Indies Women at The Oval, ICC Women's T20 World Cup, Semi-Final, 30 Jun 2026",Women's T20I,2026-06-30,206,206,199,122,6,True,complete,T20/women_international/7f55920d-9090-409a-8bf8-74514cc171b5.csv
2384c3de-60af-4366-b2f8-0e3080b87a09,228886,"Australia Women v India Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",Women's T20I,2026-06-28,241,238,235,160,4,True,complete,T20/women_international/2384c3de-60af-4366-b2f8-0e3080b87a09.csv
5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",Women's T20I,2026-06-28,243,241,235,127,4,True,complete,T20/women_international/5fdf8574-ecf1-4164-a0f1-3abb80adf9f5.csv
bda9818d-90ae-4cb7-a439-6ff02520b1c1,237183,"Ireland v India at Belfast, 2nd T20I, 28 Jun 2026",Twenty20 international,2026-06-28,249,248,242,158,13,True,complete,T20/men_international/bda9818d-90ae-4cb7-a439-6ff02520b1c1.csv
c10a51e6-9d5d-4372-91f9-b44df707d794,228884,"England Women v New Zealand Women at The Oval, ICC Women's T20 World Cup, 27 Jun 2026",Women's T20I,2026-06-27,230,228,224,137,2,True,complete,T20/women_international/c10a51e6-9d5d-4372-91f9-b44df707d794.csv
3926da2b-1f08-46c2-95dd-47da8bc4eda7,228883,"West Indies Women v Ireland Women at Bristol, ICC Women's T20 World Cup, 27 Jun 2026",Women's T20I,2026-06-27,241,241,231,121,10,True,complete,T20/women_international/3926da2b-1f08-46c2-95dd-47da8bc4eda7.csv
661bcb2f-43d7-4f99-b332-db1eba2e8044,228882,"Pakistan Women v Netherlands Women at Bristol, ICC Women's T20 World Cup, 27 Jun 2026",Women's T20I,2026-06-27,231,229,228,120,6,True,complete,T20/women_international/661bcb2f-43d7-4f99-b332-db1eba2e8044.csv
4fd0d4cb-6db7-4a60-9a44-2bc3a99e0587,228881,"Sri Lanka Women v Scotland Women at Manchester, ICC Women's T20 World Cup, 26 Jun 2026",Women's T20I,2026-06-26,250,248,239,143,7,True,complete,T20/women_international/4fd0d4cb-6db7-4a60-9a44-2bc3a99e0587.csv
243b2b24-5b5f-4c17-aa6c-e7c0d1ba25ea,237182,"Ireland v India at Belfast, 1st T20I, 26 Jun 2026",Twenty20 international,2026-06-26,247,246,235,141,14,True,complete,T20/men_international/243b2b24-5b5f-4c17-aa6c-e7c0d1ba25ea.csv
39d3f50a-280a-4eeb-a431-346a5e04d9c5,228879,"India Women v Bangladesh Women at Manchester, ICC Women's T20 World Cup, 25 Jun 2026",Women's T20I,2026-06-25,232,231,224,137,7,True,complete,T20/women_international/39d3f50a-280a-4eeb-a431-346a5e04d9c5.csv
18e78ef0-79a6-4d88-9d4b-e169d4b0390f,228880,"South Africa Women v Netherlands Women at Bristol, ICC Women's T20 World Cup, 25 Jun 2026",Women's T20I,2026-06-25,245,244,241,152,3,True,complete,T20/women_international/18e78ef0-79a6-4d88-9d4b-e169d4b0390f.csv
652c44b5-c4ea-4925-9d3a-bb7428e4d6c0,228878,"England Women v West Indies Women at Lord's, ICC Women's T20 World Cup, 24 Jun 2026",Women's T20I,2026-06-24,253,250,241,150,6,True,complete,T20/women_international/652c44b5-c4ea-4925-9d3a-bb7428e4d6c0.csv
e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",Women's T20I,2026-06-23,215,212,202,116,11,True,complete,T20/women_international/e5b31b2d-03a5-43fb-9394-ab46ea9896be.csv
19e58731-d0ed-48f2-b9a3-96a741ea8468,228876,"Sri Lanka Women v Ireland Women at Bristol, ICC Women's T20 World Cup, 23 Jun 2026",Women's T20I,2026-06-23,221,219,213,120,2,True,complete,T20/women_international/19e58731-d0ed-48f2-b9a3-96a741ea8468.csv
300ec019-ef7d-4e6e-8816-403f4cd48625,228875,"New Zealand Women v Scotland Women at Bristol, ICC Women's T20 World Cup, 23 Jun 2026",Women's T20I,2026-06-23,238,237,230,132,6,True,complete,T20/women_international/300ec019-ef7d-4e6e-8816-403f4cd48625.csv
28f5ba47-0d0b-4e71-9fca-3b8e438fbbd9,228874,"South Africa Women v India Women at Manchester, ICC Women's T20 World Cup, 21 Jun 2026",Women's T20I,2026-06-21,238,237,234,152,5,True,complete,T20/women_international/28f5ba47-0d0b-4e71-9fca-3b8e438fbbd9.csv
39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",Women's T20I,2026-06-21,230,228,218,99,8,True,complete,T20/women_international/39bc7b85-dc19-45b4-b9f0-ea7976c0398b.csv
50dc896c-4055-4f0a-8e30-8d2a41246a94,237071,"India v Afghanistan at Chennai, 3rd ODI, 20 Jun 2026",One-day international,2026-06-20,455,0,0,193,8,False,complete,ODI/men_international/50dc896c-4055-4f0a-8e30-8d2a41246a94.csv
ae8d59e2-4b13-465d-83b8-e6b7f3050bff,228871,"Pakistan Women v Bangladesh Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",Women's T20I,2026-06-20,245,245,240,125,8,True,complete,T20/women_international/ae8d59e2-4b13-465d-83b8-e6b7f3050bff.csv
1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",Women's T20I,2026-06-20,247,247,241,154,6,True,complete,T20/women_international/1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5.csv
b1c34126-a521-418d-b5ba-239ea7d4aef6,228872,"England Women v Scotland Women at Leeds, ICC Women's T20 World Cup, 20 Jun 2026",Women's T20I,2026-06-20,244,243,240,169,7,True,complete,T20/women_international/b1c34126-a521-418d-b5ba-239ea7d4aef6.csv
69a74884-d766-4239-b3bc-2e65c57d4601,228869,"New Zealand Women v Ireland Women at Southampton, ICC Women's T20 World Cup, 19 Jun 2026",Women's T20I,2026-06-19,247,247,240,154,7,True,complete,T20/women_international/69a74884-d766-4239-b3bc-2e65c57d4601.csv
22243dc3-5c88-4cb6-9138-86055855d4b6,228868,"West Indies Women v Scotland Women at Leeds, ICC Women's T20 World Cup, 18 Jun 2026",Women's T20I,2026-06-18,253,251,243,146,6,True,complete,T20/women_international/22243dc3-5c88-4cb6-9138-86055855d4b6.csv
e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",One-day international,2026-06-17,577,0,0,303,13,False,complete,ODI/men_international/e091d0bf-d873-452c-a007-37cb4dad0127.csv
509d9547-8f93-4485-874d-0f5f6318884d,228867,"South Africa Women v Pakistan Women at Birmingham, ICC Women's T20 World Cup, 17 Jun 2026",Women's T20I,2026-06-17,228,224,222,116,4,True,complete,T20/women_international/509d9547-8f93-4485-874d-0f5f6318884d.csv
2d95f5ca-44bc-468b-855c-c5e97d51d18f,228866,"India Women v Netherlands Women at Leeds, ICC Women's T20 World Cup, 17 Jun 2026",Women's T20I,2026-06-17,245,245,226,142,10,True,complete,T20/women_international/2d95f5ca-44bc-468b-855c-c5e97d51d18f.csv
092a290e-e6b5-4a85-ab60-e147ae1ebb46,228865,"Australia Women v Bangladesh Women at Leeds, ICC Women's T20 World Cup, 17 Jun 2026",Women's T20I,2026-06-17,183,183,177,81,3,True,complete,T20/women_international/092a290e-e6b5-4a85-ab60-e147ae1ebb46.csv
4d38a86e-7bbf-4de1-bcaa-8d40945bc9c0,228864,"England Women v Ireland Women at Southampton, ICC Women's T20 World Cup, 16 Jun 2026",Women's T20I,2026-06-16,232,231,225,125,7,True,complete,T20/women_international/4d38a86e-7bbf-4de1-bcaa-8d40945bc9c0.csv
fcb01b93-3623-4bee-8c05-da78a47c2fd9,228863,"New Zealand Women v Sri Lanka Women at Southampton, ICC Women's T20 World Cup, 16 Jun 2026",Women's T20I,2026-06-16,247,245,238,160,7,True,complete,T20/women_international/fcb01b93-3623-4bee-8c05-da78a47c2fd9.csv
50c76332-f16c-45ef-9765-cbffdcbb1a40,228861,"Bangladesh Women v Netherlands Women at Birmingham, ICC Women's T20 World Cup, 14 Jun 2026",Women's T20I,2026-06-14,243,240,236,146,5,True,complete,T20/women_international/50c76332-f16c-45ef-9765-cbffdcbb1a40.csv
f026d593-1406-4537-aa32-efb019fa0530,228862,"India Women v Pakistan Women at Birmingham, ICC Women's T20 World Cup, 14 Jun 2026",Women's T20I,2026-06-14,233,232,223,132,13,True,complete,T20/women_international/f026d593-1406-4537-aa32-efb019fa0530.csv
d10fb922-2aad-4050-9342-739a9ae27ca2,228858,"Scotland Women v Ireland Women at Manchester, ICC Women's T20 World Cup, 13 Jun 2026",Women's T20I,2026-06-13,247,245,235,142,7,True,complete,T20/women_international/d10fb922-2aad-4050-9342-739a9ae27ca2.csv
735d1470-22e7-4a7e-8a2e-ea41d70d52aa,237069,"India v Afghanistan at Dharamsala, 1st ODI, 13 Jun 2026",One-day international,2026-06-13,295,0,0,152,7,False,complete,ODI/men_international/735d1470-22e7-4a7e-8a2e-ea41d70d52aa.csv
6cb436c0-2b98-48c4-900d-ed6e458f1f06,228860,"West Indies Women v New Zealand Women at Southampton, ICC Women's T20 World Cup, 13 Jun 2026",Women's T20I,2026-06-13,247,246,240,148,8,True,complete,T20/women_international/6cb436c0-2b98-48c4-900d-ed6e458f1f06.csv
043761a0-9e96-4b82-a8b9-4807e587e7f1,228859,"Australia Women v South Africa Women at Manchester, ICC Women's T20 World Cup, 13 Jun 2026",Women's T20I,2026-06-13,227,226,220,132,11,True,complete,T20/women_international/043761a0-9e96-4b82-a8b9-4807e587e7f1.csv
6babfcee-6859-499e-ad64-610e64f26c88,228857,"England Women v Sri Lanka Women at Birmingham, ICC Women's T20 World Cup, 12 Jun 2026",Women's T20I,2026-06-12,254,254,242,165,6,True,complete,T20/women_international/6babfcee-6859-499e-ad64-610e64f26c88.csv
0e966904-9653-4b3f-937c-90f01e42d0e2,237068,"India v Afghanistan at New Chandigarh, Only Test, 6-10 Jun 2026",Test,2026-06-06,1339,0,0,379,17,False,complete,Test/men_international/0e966904-9653-4b3f-937c-90f01e42d0e2.csv
e7d8ad6c-e13d-47dc-a460-82b42c1cf593,229339,"England Women v India Women at Taunton, 3rd T20I, 2 Jun 2026",Women's T20I,2026-06-02,242,241,231,175,5,True,complete,T20/women_international/e7d8ad6c-e13d-47dc-a460-82b42c1cf593.csv
94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",Women's T20I,2026-05-30,246,245,240,158,7,True,complete,T20/women_international/94decfd5-d2ac-4a7f-8cec-2e610e4d1822.csv
1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",Women's T20I,2026-05-28,248,246,240,151,8,True,complete,T20/women_international/1538c4b1-2fae-4787-8674-8cdb5248615f.csv
3132a500-8b3c-4466-96fa-6abd5ccdefd4,235977,"South Africa Women v India Women at Benoni, 5th T20I, 27 Apr 2026",Women's T20I,2026-04-27,246,0,0,140,6,False,complete,T20/women_international/3132a500-8b3c-4466-96fa-6abd5ccdefd4.csv
34713ca9-6ee5-4723-9f06-01ec09f51441,235976,"South Africa Women v India Women at Johannesburg, 4th T20I, 25 Apr 2026",Women's T20I,2026-04-25,247,0,0,150,5,False,complete,T20/women_international/34713ca9-6ee5-4723-9f06-01ec09f51441.csv
74abbe08-6646-47ef-8e64-e5fd0dabefb9,235975,"South Africa Women v India Women at Johannesburg, 3rd T20I, 22 Apr 2026",Women's T20I,2026-04-22,229,0,0,158,4,False,complete,T20/women_international/74abbe08-6646-47ef-8e64-e5fd0dabefb9.csv
e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",Women's T20I,2026-04-19,234,0,0,145,8,False,complete,T20/women_international/e1b727f9-e019-49d9-a5dd-266e1c160e1c.csv
2280575e-a7ed-440f-9744-d0d49674dd79,235973,"South Africa Women v India Women at Durban, 1st T20I, 17 Apr 2026",Women's T20I,2026-04-17,245,0,0,156,6,False,complete,T20/women_international/2280575e-a7ed-440f-9744-d0d49674dd79.csv
7ac32c77-a7ae-468b-aa34-af87eaad0bb0,233461,"India v New Zealand at Ahmedabad, ICC Men's T20 World Cup, Final, 8 Mar 2026",Twenty20 international,2026-03-08,249,247,234,160,10,True,complete,T20/men_international/7ac32c77-a7ae-468b-aa34-af87eaad0bb0.csv
14621ff1-d8c1-4c18-b495-ec81ddf9b74f,227558,"Australia Women v India Women at Perth, Only Test, 6-9 Mar 2026",Women's Test,2026-03-06,1245,0,0,318,21,False,complete,Test/women_international/14621ff1-d8c1-4c18-b495-ec81ddf9b74f.csv
c5677298-f888-4c23-8ed8-4a3566086e5c,233460,"England v India at Mumbai, ICC Men's T20 World Cup, Semi-Final, 5 Mar 2026",Twenty20 international,2026-03-05,259,253,239,172,7,True,complete,T20/men_international/c5677298-f888-4c23-8ed8-4a3566086e5c.csv
3a4f725f-f333-4643-b686-57cac2395314,233459,"South Africa v New Zealand at Kolkata, ICC Men's T20 World Cup, Semi-Final, 4 Mar 2026",Twenty20 international,2026-03-04,206,206,198,131,6,True,complete,T20/men_international/3a4f725f-f333-4643-b686-57cac2395314.csv
581cbc64-e58f-484b-a98c-61039162c7e6,233458,"India v West Indies at Kolkata, ICC Men's T20 World Cup, 1 Mar 2026",Twenty20 international,2026-03-01,249,247,236,160,8,True,complete,T20/men_international/581cbc64-e58f-484b-a98c-61039162c7e6.csv
b4a529c6-41f9-45c2-a9c8-087ed062db1d,227557,"Australia Women v India Women at Hobart, 3rd ODI, 1 Mar 2026",Women's ODI,2026-03-01,579,0,0,301,7,False,complete,ODI/women_international/b4a529c6-41f9-45c2-a9c8-087ed062db1d.csv
bbcd5884-dd98-4bc2-9155-07c4160c943e,233457,"Zimbabwe v South Africa at Delhi, ICC Men's T20 World Cup, 1 Mar 2026",Twenty20 international,2026-03-01,235,235,229,135,7,True,complete,T20/men_international/bbcd5884-dd98-4bc2-9155-07c4160c943e.csv
ea747684-8fd3-43bb-b135-99ee3af846ca,233456,"Pakistan v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 28 Feb 2026",Twenty20 international,2026-02-28,249,247,240,168,6,True,complete,T20/men_international/ea747684-8fd3-43bb-b135-99ee3af846ca.csv
4f54a51c-9fdf-4439-a108-35b1d819ad6d,227556,"Australia Women v India Women at Hobart, 2nd ODI, 27 Feb 2026",Women's ODI,2026-02-27,530,0,0,266,8,False,complete,ODI/women_international/4f54a51c-9fdf-4439-a108-35b1d819ad6d.csv
ec4c1d8f-68c3-4f82-9668-c21c7f6ff818,233455,"England v New Zealand at Colombo (RPS), ICC Men's T20 World Cup, 27 Feb 2026",Twenty20 international,2026-02-27,240,240,237,142,9,True,complete,T20/men_international/ec4c1d8f-68c3-4f82-9668-c21c7f6ff818.csv
e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",Twenty20 international,2026-02-26,222,221,218,139,7,True,complete,T20/men_international/e666084b-d64d-445d-9157-dbf708a6a38c.csv
2482a698-215b-4a13-9303-a4fdb4872b9e,233454,"India v Zimbabwe at Chennai, ICC Men's T20 World Cup, 26 Feb 2026",Twenty20 international,2026-02-26,257,255,243,167,8,True,complete,T20/men_international/2482a698-215b-4a13-9303-a4fdb4872b9e.csv
84b6ce17-961e-4870-9f98-0b0aa481e8aa,233452,"New Zealand v Sri Lanka at Colombo (RPS), ICC Men's T20 World Cup, 25 Feb 2026",Twenty20 international,2026-02-25,248,247,240,140,9,True,complete,T20/men_international/84b6ce17-961e-4870-9f98-0b0aa481e8aa.csv
1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",Twenty20 international,2026-02-24,242,241,236,149,8,True,complete,T20/men_international/1707254a-1946-47b8-ace3-f613941736d5.csv
5a68266e-f60d-4d2b-818b-6dda92d5d884,227555,"Australia Women v India Women at Brisbane, 1st ODI, 24 Feb 2026",Women's ODI,2026-02-24,534,0,0,239,9,False,complete,ODI/women_international/5a68266e-f60d-4d2b-818b-6dda92d5d884.csv
7c95a525-d692-4c1a-ad82-3f604bc9dc44,233450,"Zimbabwe v West Indies at Mumbai, ICC Men's T20 World Cup, 23 Feb 2026",Twenty20 international,2026-02-23,242,241,226,131,12,True,complete,T20/men_international/7c95a525-d692-4c1a-ad82-3f604bc9dc44.csv
849f1c90-3988-4ee8-b5ba-8a973bb1b929,233448,"England v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 22 Feb 2026",Twenty20 international,2026-02-22,225,224,220,121,13,True,complete,T20/men_international/849f1c90-3988-4ee8-b5ba-8a973bb1b929.csv
c2362d8c-07f8-4fd5-92b3-ff8ccf3c5d67,233449,"India v South Africa at Ahmedabad, ICC Men's T20 World Cup, 22 Feb 2026",Twenty20 international,2026-02-22,245,245,235,137,16,True,complete,T20/men_international/c2362d8c-07f8-4fd5-92b3-ff8ccf3c5d67.csv
81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",Women's T20I,2026-02-21,250,0,0,163,9,False,complete,T20/women_international/81e78c1d-6261-4e24-b855-af329813de69.csv
a2b49470-c995-4fb7-9077-5c6e66c85958,233446,"Australia v Oman at Pallekele, ICC Men's T20 World Cup, 20 Feb 2026",Twenty20 international,2026-02-20,158,158,156,93,3,True,complete,T20/men_international/a2b49470-c995-4fb7-9077-5c6e66c85958.csv
4abed850-552d-44c5-b95b-edddae77a57e,233444,"Sri Lanka v Zimbabwe at Colombo (RPS), ICC Men's T20 World Cup, 19 Feb 2026",Twenty20 international,2026-02-19,247,246,238,163,10,True,complete,T20/men_international/4abed850-552d-44c5-b95b-edddae77a57e.csv
e8904a86-5a63-46f6-9290-4a3a4ffcee99,227553,"Australia Women v India Women at Canberra, 2nd T20I, 19 Feb 2026",Women's T20I,2026-02-19,246,0,0,155,7,False,complete,T20/women_international/e8904a86-5a63-46f6-9290-4a3a4ffcee99.csv
50d589f3-1bcd-421e-a19e-ce5a3dce7d10,233443,"West Indies v Italy at Kolkata, ICC Men's T20 World Cup, 19 Feb 2026",Twenty20 international,2026-02-19,236,236,228,132,13,True,complete,T20/men_international/50d589f3-1bcd-421e-a19e-ce5a3dce7d10.csv
0ffe7e30-c505-437d-9a43-8fccd8f12e41,233445,"Afghanistan v Canada at Chennai, ICC Men's T20 World Cup, 19 Feb 2026",Twenty20 international,2026-02-19,247,247,241,142,8,True,complete,T20/men_international/0ffe7e30-c505-437d-9a43-8fccd8f12e41.csv
27f521c2-4013-4659-af32-50ebde324e78,233442,"India v Netherlands at Ahmedabad, ICC Men's T20 World Cup, 18 Feb 2026",Twenty20 international,2026-02-18,251,251,240,157,8,True,complete,T20/men_international/27f521c2-4013-4659-af32-50ebde324e78.csv
fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",Twenty20 international,2026-02-18,233,232,225,131,8,True,complete,T20/men_international/fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9.csv
1158b8de-bb27-487c-b387-7f31e9531b9a,233440,"South Africa v United Arab Emirates at Delhi, ICC Men's T20 World Cup, 18 Feb 2026",Twenty20 international,2026-02-18,206,206,200,114,8,True,complete,T20/men_international/1158b8de-bb27-487c-b387-7f31e9531b9a.csv
423f8806-ac77-4ccb-ad38-267076064673,233439,"Scotland v Nepal at Mumbai, ICC Men's T20 World Cup, 17 Feb 2026",Twenty20 international,2026-02-17,241,241,236,157,7,True,complete,T20/men_international/423f8806-ac77-4ccb-ad38-267076064673.csv
1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",Twenty20 international,2026-02-17,225,225,213,147,5,True,complete,T20/men_international/1adea1b5-5fe0-4464-bc50-3b394c48a154.csv
506484c9-6f3a-44e4-b85d-fca45e594aad,233434,"Afghanistan v United Arab Emirates at Delhi, ICC Men's T20 World Cup, 16 Feb 2026",Twenty20 international,2026-02-16,246,243,238,146,7,True,complete,T20/men_international/506484c9-6f3a-44e4-b85d-fca45e594aad.csv
6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",Twenty20 international,2026-02-16,236,234,229,153,8,True,complete,T20/men_international/6d21f6c0-6514-45cf-a2aa-6d0774cc7794.csv
f8b8dc88-d10b-436a-b321-25325b34c3db,233435,"England v Italy at Kolkata, ICC Men's T20 World Cup, 16 Feb 2026",Twenty20 international,2026-02-16,250,250,240,151,16,True,complete,T20/men_international/f8b8dc88-d10b-436a-b321-25325b34c3db.csv
4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",Twenty20 international,2026-02-15,232,231,228,130,9,True,complete,T20/men_international/4ccc8665-2947-4964-8b32-6729f6f7eace.csv
5adddbd9-cc97-41cc-bb03-21b4c028c6e3,233432,"United States of America v Namibia at Chennai, ICC Men's T20 World Cup, 15 Feb 2026",Twenty20 international,2026-02-15,247,246,241,173,9,True,complete,T20/men_international/5adddbd9-cc97-41cc-bb03-21b4c028c6e3.csv
1bf2c133-1017-45b7-a17a-c1721319bf3c,227552,"Australia Women v India Women at Sydney, 1st T20I, 15 Feb 2026",Women's T20I,2026-02-15,148,0,0,82,6,False,complete,T20/women_international/1bf2c133-1017-45b7-a17a-c1721319bf3c.csv
120aafac-bcfb-4b58-ba6b-b6c0bb0b478f,233431,"West Indies v Nepal at Mumbai, ICC Men's T20 World Cup, 15 Feb 2026",Twenty20 international,2026-02-15,221,217,211,124,6,True,complete,T20/men_international/120aafac-bcfb-4b58-ba6b-b6c0bb0b478f.csv
87435c39-2f4d-49b4-bdcb-e6d84d7ab7f5,233430,"New Zealand v South Africa at Ahmedabad, ICC Men's T20 World Cup, 14 Feb 2026",Twenty20 international,2026-02-14,229,229,223,153,8,True,complete,T20/men_international/87435c39-2f4d-49b4-bdcb-e6d84d7ab7f5.csv
a023278f-a25a-476b-87ab-d282852a216e,233429,"England v Scotland at Kolkata, ICC Men's T20 World Cup, 14 Feb 2026",Twenty20 international,2026-02-14,236,235,228,143,12,True,complete,T20/men_international/a023278f-a25a-476b-87ab-d282852a216e.csv
1af6890d-68eb-4e1c-b574-0cf5b5af856a,233428,"Ireland v Oman at Colombo (SSC), ICC Men's T20 World Cup, 14 Feb 2026",Twenty20 international,2026-02-14,236,234,229,152,8,True,complete,T20/men_international/1af6890d-68eb-4e1c-b574-0cf5b5af856a.csv
953dbc98-9418-41bf-96ab-6edcb4f795c8,233427,"United States of America v Netherlands at Chennai, ICC Men's T20 World Cup, 13 Feb 2026",Twenty20 international,2026-02-13,222,222,215,145,8,True,complete,T20/men_international/953dbc98-9418-41bf-96ab-6edcb4f795c8.csv
aa8c29ed-a612-4ed9-a52a-5bd131d00ec6,233426,"Canada v United Arab Emirates at Delhi, ICC Men's T20 World Cup, 13 Feb 2026",Twenty20 international,2026-02-13,253,252,239,145,11,True,complete,T20/men_international/aa8c29ed-a612-4ed9-a52a-5bd131d00ec6.csv
