balls,batting_team_id,closure_id,innings_number,overs,runs,wickets,match_id,gid,target,ball_limit
299,1588,1,1,49.5,338,10,228855,a11d9494-0eee-4724-96f9-5d8ea294731c,,300
291,2295,3,2,48.3,341,5,228855,a11d9494-0eee-4724-96f9-5d8ea294731c,339,300
548,2447,1,1,91.2,309,10,232847,59aeb136-736e-428c-b01c-57d87a9e6db4,,
348,1597,1,2,58.0,234,10,232847,59aeb136-736e-428c-b01c-57d87a9e6db4,,
289,2447,1,3,48.1,199,10,232847,59aeb136-736e-428c-b01c-57d87a9e6db4,,
439,1597,3,4,73.1,277,7,232847,59aeb136-736e-428c-b01c-57d87a9e6db4,275,
300,1817,5,1,50.0,319,7,228854,2a5cd2a2-6ae0-49ac-bb04-0131338909f2,,300
255,2510,1,2,42.3,194,10,228854,2a5cd2a2-6ae0-49ac-bb04-0131338909f2,320,300
58,6,5,1,9.4,97,1,227547,a7139545-8f84-4d97-b5d6-d46b48c01729,,108
,2,0,2,0.0,,,227547,a7139545-8f84-4d97-b5d6-d46b48c01729,,108
162,1596,5,1,27.0,119,9,228853,64c87a8a-2421-4bbb-867d-9ba836eeac44,,162
52,2295,5,2,8.4,57,,228853,64c87a8a-2421-4bbb-867d-9ba836eeac44,126,162
230,1913,1,1,38.2,168,10,228852,28920c48-2b51-4e16-adfd-f5569521e267,,300
176,2510,3,2,29.2,172,2,228852,28920c48-2b51-4e16-adfd-f5569521e267,169,300
144,1817,1,1,24.0,97,10,228851,f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,,300
101,1588,3,2,16.5,98,3,228851,f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,98,300
280,2,1,1,46.4,236,10,227546,7c1901c9-8935-454d-9739-0a680f2c119f,,300
231,6,3,2,38.3,237,1,227546,7c1901c9-8935-454d-9739-0a680f2c119f,237,300
26,1452,5,1,4.2,18,,228850,c7f6736e-30be-4355-874c-b6ce058605e3,,204
,1939,0,2,0.0,,,228850,c7f6736e-30be-4355-874c-b6ce058605e3,,204
294,2295,5,1,49.0,340,3,228849,93b381d6-a75f-472b-ae49-f98b20115050,,294
264,1913,5,2,44.0,271,8,228849,93b381d6-a75f-472b-ae49-f98b20115050,325,264
300,6,5,1,50.0,264,9,227545,cefb3fed-d5a0-4884-b81b-c87a97232a44,,300
278,2,3,2,46.2,265,8,227545,cefb3fed-d5a0-4884-b81b-c87a97232a44,265,300
300,2510,5,1,50.0,244,9,228848,4fc9b48a-2321-4bfa-a7b1-5ba6eb46cf9a,,300
243,1588,3,2,40.3,248,4,228848,4fc9b48a-2321-4bfa-a7b1-5ba6eb46cf9a,245,300
240,1817,5,1,40.0,312,9,228847,aa205842-da7e-4e14-9f96-efe1be97802f,,240
120,1452,5,2,20.0,83,7,228847,aa205842-da7e-4e14-9f96-efe1be97802f,234,120
292,1939,1,1,48.4,202,10,228846,85577691-b9ff-4937-9847-69fd2e1814ac,,300
300,1596,5,2,50.0,195,9,228846,85577691-b9ff-4937-9847-69fd2e1814ac,203,300
300,2510,5,1,50.0,288,8,228845,18fea515-74db-4017-a759-0fd737b51679,,300
300,2295,5,2,50.0,284,6,228845,18fea515-74db-4017-a759-0fd737b51679,289,300
156,6,5,1,26.0,136,9,227544,c7837fe9-b3d5-4245-afff-32ea1b73e5b1,,156
127,2,3,2,21.1,131,3,227544,c7837fe9-b3d5-4245-afff-32ea1b73e5b1,131,156
150,1452,5,1,25.0,92,5,228844,d269d545-62d5-4e00-84a0-5a51c16f21be,,216
,1913,0,2,0.0,,,228844,d269d545-62d5-4e00-84a0-5a51c16f21be,,216
120,1939,5,1,20.0,105,7,228843,7d6b05c1-b69c-4dec-9c64-68befdd67d0c,,120
89,1817,3,2,14.5,125,,228843,7d6b05c1-b69c-4dec-9c64-68befdd67d0c,121,120
300,1596,5,1,50.0,198,9,228842,dc781a6a-781a-4481-a2c8-c3942431164b,,300
149,1588,3,2,24.5,202,,228842,dc781a6a-781a-4481-a2c8-c3942431164b,199,300
186,2510,5,1,31.0,133,9,228841,2e795b88-709a-4e32-b32b-1a0eadf54cc6,,186
40,1452,5,2,6.4,34,,228841,2e795b88-709a-4e32-b32b-1a0eadf54cc6,113,186
300,1939,5,1,50.0,258,6,228840,27311f04-536a-47b4-a11b-78e3d9fa08fc,,300
,1913,5,2,0.0,,,228840,27311f04-536a-47b4-a11b-78e3d9fa08fc,,300
300,1596,5,1,50.0,232,6,228839,e185abc5-e700-410f-ba48-55bf80c4e65c,,300
297,1817,3,2,49.3,235,7,228839,e185abc5-e700-410f-ba48-55bf80c4e65c,233,300
293,2295,1,1,48.5,330,10,228838,b83943f3-ec24-407a-9fda-ddc3b5b72641,,300
294,1588,3,2,49.0,331,7,228838,b83943f3-ec24-407a-9fda-ddc3b5b72641,331,300
300,2510,5,1,50.0,253,9,228837,929ee6e0-022e-4c0f-abea-51f2b2dedf2b,,300
274,1939,1,2,45.4,164,10,228837,929ee6e0-022e-4c0f-abea-51f2b2dedf2b,254,300
300,1913,5,1,50.0,227,9,228836,49ff4566-8167-46ab-82ed-81241e004633,,300
239,1596,1,2,39.5,127,10,228836,49ff4566-8167-46ab-82ed-81241e004633,228,300
806,6,2,1,134.2,518,5,227560,81e47e0c-393f-4bea-9bb3-59334a8ff272,,
491,4,1,2,81.5,248,10,227560,81e47e0c-393f-4bea-9bb3-59334a8ff272,,
713,4,1,3,118.5,390,10,227560,81e47e0c-393f-4bea-9bb3-59334a8ff272,,
212,6,3,4,35.2,124,3,227560,81e47e0c-393f-4bea-9bb3-59334a8ff272,121,
299,2295,1,1,49.5,251,10,228835,d1c53795-5b2d-4518-8c4b-dc97e61cbb0b,,300
293,1817,3,2,48.5,252,7,228835,d1c53795-5b2d-4518-8c4b-dc97e61cbb0b,252,300
300,1588,5,1,50.0,221,9,228834,ba9d712a-1741-4eeb-89ca-42c13b79b2a4,,300
219,1452,1,2,36.3,114,10,228834,ba9d712a-1741-4eeb-89ca-42c13b79b2a4,222,300
298,1596,1,1,49.4,178,10,228833,7c531dad-faf4-4bd5-a848-3c154e0e223b,,300
277,2510,3,2,46.1,182,6,228833,7c531dad-faf4-4bd5-a848-3c154e0e223b,179,300
261,1155,1,1,43.3,135,10,229983,2a70bfd6-df5d-4cad-997b-d35127d91efc,,
310,2046,1,2,51.4,171,10,229983,2a70bfd6-df5d-4cad-997b-d35127d91efc,,
241,1155,1,3,40.1,116,10,229983,2a70bfd6-df5d-4cad-997b-d35127d91efc,,
74,2046,3,4,12.2,84,3,229983,2a70bfd6-df5d-4cad-997b-d35127d91efc,81,
287,1913,1,1,47.5,231,10,228832,a2f21b55-f71a-4647-8750-ef7807ae5927,,300
245,1817,3,2,40.5,234,4,228832,a2f21b55-f71a-4647-8750-ef7807ae5927,232,300
300,2295,1,1,50.0,247,10,228831,981c58a1-c517-4234-aa6e-4aa4dc9025c3,,300
258,1452,1,2,43.0,159,10,228831,981c58a1-c517-4234-aa6e-4aa4dc9025c3,248,300
295,1502,1,1,49.1,316,10,231167,bc3c28cf-dd81-4a22-afa1-7f95dc4fd489,,300
276,1597,3,2,46.0,322,8,231167,bc3c28cf-dd81-4a22-afa1-7f95dc4fd489,317,300
124,1817,1,1,20.4,69,10,228829,bbcbcd6c-599c-4048-a4d6-2550d53c13e9,,300
85,2510,3,2,14.1,73,,228829,bbcbcd6c-599c-4048-a4d6-2550d53c13e9,70,300
275,1597,1,1,45.5,246,10,231166,6a045b3e-9d8b-455e-a502-c2797c0bd265,,300
100,1502,3,2,16.4,160,1,231166,6a045b3e-9d8b-455e-a502-c2797c0bd265,160,150
231,1452,1,1,38.3,129,10,228828,6eb9bf95-f4c7-4639-8480-80b0df8daf35,,300
187,1596,3,2,31.1,131,3,228828,6eb9bf95-f4c7-4639-8480-80b0df8daf35,130,300
265,4,1,1,44.1,162,10,227559,2fb3411c-dafb-41e6-99bf-8627c9fd2e76,,
768,6,2,2,128.0,448,5,227559,2fb3411c-dafb-41e6-99bf-8627c9fd2e76,,
271,4,1,3,45.1,146,10,227559,2fb3411c-dafb-41e6-99bf-8627c9fd2e76,,
297,1588,1,1,49.3,326,10,228827,a556220a-3bd6-4a9d-8f75-42f060f5638f,,300
260,1913,1,2,43.2,237,10,228827,a556220a-3bd6-4a9d-8f75-42f060f5638f,327,300
282,2295,5,1,47.0,269,8,228826,b30a38f6-8abc-4635-907e-c855e04307e2,,282
274,1939,1,2,45.4,211,10,228826,b30a38f6-8abc-4635-907e-c855e04307e2,271,282
300,1597,5,1,50.0,413,6,231165,95bccb1a-03de-4ab5-b980-991be118c9de,,300
199,1502,1,2,33.1,242,10,231165,95bccb1a-03de-4ab5-b980-991be118c9de,414,300
548,1155,1,1,91.2,243,10,229982,1ebaef9e-d263-4292-a89b-88a4a21a162c,,
489,2046,1,2,81.3,428,10,229982,1ebaef9e-d263-4292-a89b-88a4a21a162c,,
297,1155,1,3,49.3,127,10,229982,1ebaef9e-d263-4292-a89b-88a4a21a162c,,
300,2046,5,1,50.0,280,9,229981,9e28e48c-c6e9-495b-9d4b-a3ac0d2cec0a,,300
171,1155,1,2,28.3,113,10,229981,9e28e48c-c6e9-495b-9d4b-a3ac0d2cec0a,281,300
298,2046,1,1,49.4,300,10,229980,85c746d7-75c0-480c-b5d3-de536296fb2e,,300
284,1155,1,2,47.2,249,10,229980,85c746d7-75c0-480c-b5d3-de536296fb2e,301,300
584,1502,1,1,97.2,420,10,231164,fac15339-c22a-4198-b59e-65d013cd7363,,
317,1597,1,2,52.5,194,10,231164,fac15339-c22a-4198-b59e-65d013cd7363,,
281,1502,1,3,46.5,185,10,231164,fac15339-c22a-4198-b59e-65d013cd7363,,
549,1597,3,4,91.3,413,5,231164,fac15339-c22a-4198-b59e-65d013cd7363,412,
300,1155,5,1,50.0,225,9,229979,0d801ce0-d926-4f08-94cd-915ac1b65694,,300
183,2046,3,2,30.3,227,3,229979,0d801ce0-d926-4f08-94cd-915ac1b65694,226,300
287,1588,1,1,47.5,412,10,228508,21cd64bc-acf9-4c07-bf78-f4e636b67e1b,,300
282,2295,1,2,47.0,369,10,228508,21cd64bc-acf9-4c07-bf78-f4e636b67e1b,413,300
299,2295,1,1,49.5,292,10,228507,db2aa31a-52d0-430b-a7b3-e26c4876b307,,300
245,1588,1,2,40.5,190,10,228507,db2aa31a-52d0-430b-a7b3-e26c4876b307,293,300
588,1502,2,1,98.0,532,6,231163,ebb7b3ea-d230-47f3-9833-2a2aa9df9b2e,,
847,1597,2,2,141.1,531,7,231163,ebb7b3ea-d230-47f3-9833-2a2aa9df9b2e,,
96,1502,5,3,16.0,56,,231163,ebb7b3ea-d230-47f3-9833-2a2aa9df9b2e,,
300,2295,5,1,50.0,281,7,228506,635505e2-39d1-4a12-ad75-43b3c50da5c3,,300
265,1588,3,2,44.1,282,2,228506,635505e2-39d1-4a12-ad75-43b3c50da5c3,282,300
535,3013,1,1,89.1,299,10,229443,38a7e9b4-8f64-4326-94af-e51ffea096d6,,
458,2927,1,2,76.2,305,10,229443,38a7e9b4-8f64-4326-94af-e51ffea096d6,,
490,3013,1,3,81.4,286,10,229443,38a7e9b4-8f64-4326-94af-e51ffea096d6,,
513,2927,3,4,85.3,283,4,229443,38a7e9b4-8f64-4326-94af-e51ffea096d6,281,
286,3013,1,1,47.4,216,10,229442,b63f3f4f-b479-494f-8059-28ccf11306c9,,300
167,2927,3,2,27.5,222,1,229442,b63f3f4f-b479-494f-8059-28ccf11306c9,217,300
300,2927,5,1,50.0,265,9,229441,b015fb0a-03d4-4f70-bcd5-5379713923f9,,300
299,3013,3,2,49.5,266,8,229441,b015fb0a-03d4-4f70-bcd5-5379713923f9,266,300
287,2927,1,1,47.5,214,10,229440,7159428a-8893-47ab-945d-87cc8344f789,,300
252,3013,3,2,42.0,215,7,229440,7159428a-8893-47ab-945d-87cc8344f789,215,300
120,2927,5,1,20.0,144,8,229439,651abd7c-4b0b-4dab-ade3-519fecc7b0b8,,120
120,3013,5,2,20.0,140,8,229439,651abd7c-4b0b-4dab-ade3-519fecc7b0b8,145,120
120,2927,5,1,20.0,187,4,229438,91af2536-5cf5-46b0-860a-23a8fbb26e6a,,120
91,3013,1,2,15.1,73,10,229438,91af2536-5cf5-46b0-860a-23a8fbb26e6a,188,120
120,2927,5,1,20.0,137,6,229437,eff13c6b-d701-4121-a1f1-0b2edb8e229a,,120
120,3013,5,2,20.0,124,5,229437,eff13c6b-d701-4121-a1f1-0b2edb8e229a,138,120
418,6,1,1,69.4,224,10,223258,f4aca58e-d3f8-49be-af90-1cdac7432a8d,,
308,1,1,2,51.2,247,10,223258,f4aca58e-d3f8-49be-af90-1cdac7432a8d,,
528,6,1,3,88.0,396,10,223258,f4aca58e-d3f8-49be-af90-1cdac7432a8d,,
511,1,1,4,85.1,367,10,223258,f4aca58e-d3f8-49be-af90-1cdac7432a8d,374,
685,6,1,1,114.1,358,10,223257,9fcba863-ea0b-43c6-9e66-953de93fd4ef,,
943,1,1,2,157.1,669,10,223257,9fcba863-ea0b-43c6-9e66-953de93fd4ef,,
858,6,5,3,143.0,425,4,223257,9fcba863-ea0b-43c6-9e66-953de93fd4ef,,
300,2295,5,1,50.0,318,5,223252,3729e5b7-091b-45a2-869b-382ddba8637e,,300
299,2510,1,2,49.5,305,10,223252,3729e5b7-091b-45a2-869b-382ddba8637e,319,300
489,2192,1,1,81.3,309,10,225438,dc898ba3-03e1-48ee-8ff4-3d9af9687ba1,,
349,2046,1,2,58.1,279,10,225438,dc898ba3-03e1-48ee-8ff4-3d9af9687ba1,,
372,2192,2,3,62.0,324,5,225438,dc898ba3-03e1-48ee-8ff4-3d9af9687ba1,,
258,2046,5,4,43.0,290,6,225438,dc898ba3-03e1-48ee-8ff4-3d9af9687ba1,355,
174,2295,5,1,29.0,143,8,223251,3ae61d2b-96b4-4223-8ca3-c3505fa7f0f1,,174
126,2510,3,2,21.0,116,2,223251,3ae61d2b-96b4-4223-8ca3-c3505fa7f0f1,115,144
300,2510,5,1,50.0,258,6,223250,c4c18a5d-1ccd-4b76-9348-947a27b32581,,300
290,2295,3,2,48.2,262,6,223250,c4c18a5d-1ccd-4b76-9348-947a27b32581,259,300
120,2295,5,1,20.0,167,7,223249,c6bdf207-8fc2-4f56-bf3d-4896ad67c7c8,,120
120,2510,3,2,20.0,168,5,223249,c6bdf207-8fc2-4f56-bf3d-4896ad67c7c8,168,120
677,2046,1,1,112.5,540,10,225437,8a24c698-616b-45d7-9be9-484dc23aa11c,,
689,2192,1,2,114.5,439,10,225437,8a24c698-616b-45d7-9be9-484dc23aa11c,,
346,2046,1,3,57.4,248,10,225437,8a24c698-616b-45d7-9be9-484dc23aa11c,,
378,2192,5,4,63.0,270,7,225437,8a24c698-616b-45d7-9be9-484dc23aa11c,350,
675,1,1,1,112.3,387,10,223256,0891ee52-1ba0-4409-af2c-8a3ef9d30ebe,,
716,6,1,2,119.2,387,10,223256,0891ee52-1ba0-4409-af2c-8a3ef9d30ebe,,
373,1,1,3,62.1,192,10,223256,0891ee52-1ba0-4409-af2c-8a3ef9d30ebe,,
449,6,1,4,74.5,170,10,223256,0891ee52-1ba0-4409-af2c-8a3ef9d30ebe,193,
120,2510,5,1,20.0,126,7,223248,e15c5a6f-5c7c-461f-9cc5-e491b9e32c5d,,120
102,2295,3,2,17.0,127,4,223248,e15c5a6f-5c7c-461f-9cc5-e491b9e32c5d,127,120
300,2046,5,1,50.0,210,9,225436,f5edcd7c-d771-40da-9b12-cbba0137ee44,,300
187,2192,3,2,31.1,211,3,225436,f5edcd7c-d771-40da-9b12-cbba0137ee44,211,300
300,2046,5,1,50.0,363,9,225435,6f4b1485-c69a-43a1-b44f-ece2a5beb180,,300
273,2192,1,2,45.3,308,10,225435,6f4b1485-c69a-43a1-b44f-ece2a5beb180,364,300
120,2510,5,1,20.0,171,9,223247,5994f53d-adf4-4584-9cb8-4e3b017c796d,,120
120,2295,5,2,20.0,166,5,223247,5994f53d-adf4-4584-9cb8-4e3b017c796d,172,120
240,2192,5,1,40.0,268,6,225434,32d000ca-47e7-4496-a9cf-61505e6a054c,,240
207,2046,3,2,34.3,274,6,225434,32d000ca-47e7-4496-a9cf-61505e6a054c,269,240
906,6,1,1,151.0,587,10,223255,a1dbae12-fcaf-4f01-8908-7b5fdc965ec1,,
537,1,1,2,89.3,407,10,223255,a1dbae12-fcaf-4f01-8908-7b5fdc965ec1,,
498,6,2,3,83.0,427,6,223255,a1dbae12-fcaf-4f01-8908-7b5fdc965ec1,,
409,1,1,4,68.1,271,10,223255,a1dbae12-fcaf-4f01-8908-7b5fdc965ec1,608,
120,2295,5,1,20.0,181,4,223246,ec6a7e09-04aa-422f-9ab2-5d8500fc2460,,120
120,2510,5,2,20.0,157,7,223246,ec6a7e09-04aa-422f-9ab2-5d8500fc2460,182,120
294,2046,1,1,49.0,290,10,225433,313223bc-36b5-4352-b437-d566fce18172,,300
297,2192,3,2,49.3,291,9,225433,313223bc-36b5-4352-b437-d566fce18172,291,300
120,2295,5,1,20.0,210,5,223245,ae3b91e1-07e3-477f-ad52-e0d3553973b0,,120
89,2510,1,2,14.5,113,10,223245,ae3b91e1-07e3-477f-ad52-e0d3553973b0,211,120
254,2192,1,1,42.2,174,10,225432,e6e488ba-91f5-4435-8932-6fa585227194,,300
144,2046,3,2,24.0,178,4,225432,e6e488ba-91f5-4435-8932-6fa585227194,175,300
120,3422,5,1,20.0,194,8,225439,d8d13bbb-32c5-4b6e-95ca-518c7816b83e,,120
120,2295,5,2,20.0,188,8,225439,d8d13bbb-32c5-4b6e-95ca-518c7816b83e,195,120
300,3422,5,1,50.0,353,5,228594,800c9fb3-bd99-4f92-81ff-581a6753ae59,,300
300,2295,5,2,50.0,335,9,228594,800c9fb3-bd99-4f92-81ff-581a6753ae59,354,300
678,6,1,1,113.0,471,10,223254,b11857a4-7cd0-4f06-8f02-01cc512d8f60,,
604,1,1,2,100.4,465,10,223254,b11857a4-7cd0-4f06-8f02-01cc512d8f60,,
576,6,1,3,96.0,364,10,223254,b11857a4-7cd0-4f06-8f02-01cc512d8f60,,
492,1,3,4,82.0,373,5,223254,b11857a4-7cd0-4f06-8f02-01cc512d8f60,371,
537,1597,1,1,89.3,348,10,226816,ad0a8d25-520d-43a6-9ce8-f779f17d6308,,
534,1851,1,2,89.0,327,10,226816,ad0a8d25-520d-43a6-9ce8-f779f17d6308,,
552,1597,2,3,92.0,417,7,226816,ad0a8d25-520d-43a6-9ce8-f779f17d6308,,
66,1851,5,4,11.0,32,3,226816,ad0a8d25-520d-43a6-9ce8-f779f17d6308,439,
751,1597,1,1,125.1,557,10,226815,44832c38-b417-42cf-8570-ae3eb83bec18,,
875,1851,1,2,145.5,587,10,226815,44832c38-b417-42cf-8570-ae3eb83bec18,,
246,1597,5,3,41.0,241,2,226815,44832c38-b417-42cf-8570-ae3eb83bec18,,
120,6,5,1,20.0,283,1,222115,b4dee9eb-ce7c-4b26-951f-ecae2bb61b45,,120
110,3,1,2,18.2,148,10,222115,b4dee9eb-ce7c-4b26-951f-ecae2bb61b45,284,120
120,6,5,1,20.0,219,6,222114,450a3069-f22f-43ad-87ba-02608e1c1114,,120
120,3,5,2,20.0,208,7,222114,450a3069-f22f-43ad-87ba-02608e1c1114,220,120
120,6,5,1,20.0,124,6,222113,ef6e639c-e99e-4e1e-9ed8-3c92231d2e68,,120
114,3,3,2,19.0,128,7,222113,ef6e639c-e99e-4e1e-9ed8-3c92231d2e68,125,120
120,6,5,1,20.0,202,8,222112,e8ec03ec-daa1-4c7f-97e5-aec32471317d,,120
107,3,1,2,17.5,141,10,222112,e8ec03ec-daa1-4c7f-97e5-aec32471317d,203,120
343,1597,1,1,57.1,161,10,224113,a98e5a1c-2326-4306-bcaa-22d177bb48af,,
373,1502,1,2,62.1,223,10,224113,a98e5a1c-2326-4306-bcaa-22d177bb48af,,
467,1597,1,3,77.5,229,10,224113,a98e5a1c-2326-4306-bcaa-22d177bb48af,,
287,1502,3,4,47.5,169,4,224113,a98e5a1c-2326-4306-bcaa-22d177bb48af,168,
286,1597,1,1,47.4,107,10,224112,0836de1d-e0ed-49af-ada8-379769ecea77,,
376,1502,1,2,62.4,195,10,224112,0836de1d-e0ed-49af-ada8-379769ecea77,,
600,1597,1,3,100.0,312,10,224112,0836de1d-e0ed-49af-ada8-379769ecea77,,
450,1502,3,4,75.0,226,3,224112,0836de1d-e0ed-49af-ada8-379769ecea77,225,
