Unnamed: 0,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID,OverNO
11,3.0,456,1,13,Chennai Super Kings,Devon Conway,Shivam Mavi,,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.3,1.0,1.0,0,190191.0,109.74,-82.75,1.0,0,,30.0,ANGLED ACROSS,36.0,CUT SHOT,0.0,0.0,3,1.0,4,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
12,4.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0.0,1.4,1.0,1.0,0,190192.0,56.33,-143.06,4.0,0,,43.0,NIPBACKER,54.0,LEG GLANCE,0.0,0.0,4,1.0,8,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13,5.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,1.5,1.0,1.0,0,190193.0,-53.26,77.94,0.0,0,,38.0,STRAIGHT BALL,27.0,FORWARD PUSH,0.0,0.0,5,1.0,8,1,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
14,6.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,1.6,1.0,1.0,0,190194.0,-4.45,66.89,0.0,0,,39.0,ANGLED IN,53.0,FRONTFOOT STRAIGHT DRIVE,0.0,0.0,6,1.0,8,1,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
15,1.0,456,1,13,Chennai Super Kings,Devon Conway,Umesh Yadav,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,2.1,1.0,1.0,0,190195.0,-58.78,29.6,1.0,0,,41.0,INSWINGER,49.0,FORWARD DEFENCE,0.0,0.0,1,2.0,9,1,Off stump,Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
16,2.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,3,2,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0.0,2.2,1.0,1.0,0,190196.0,-79.96,-79.99,6.0,0,,39.0,ANGLED IN,40.0,FRONTFOOT FLICK,0.0,0.0,2,2.0,15,1,Leg stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
17,3.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,2.3,1.0,1.0,0,190197.0,-103.9,14.86,0.0,0,,42.0,OUTSWINGER,27.0,FORWARD PUSH,0.0,0.0,3,2.0,15,1,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
18,4.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,2.4,1.0,1.0,0,190198.0,-75.82,40.65,0.0,0,,42.0,OUTSWINGER,27.0,FORWARD PUSH,0.0,0.0,4,2.0,15,1,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
19,5.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,2.5,1.0,1.0,0,190199.0,-79.96,-79.99,1.0,0,,42.0,OUTSWINGER,44.0,GLIDE,0.0,0.0,5,2.0,16,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
20,6.0,456,1,13,Chennai Super Kings,Devon Conway,Umesh Yadav,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,2.6,1.0,1.0,0,190200.0,64.15,-20.59,0.0,0,,30.0,ANGLED ACROSS,50.0,BACKFOOT DEFENCE,0.0,0.0,6,2.0,16,1,Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
21,1.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,3.1,1.0,1.0,0,190201.0,-33.92,-13.68,1.0,0,,43.0,NIPBACKER,49.0,FORWARD DEFENCE,0.0,0.0,1,3.0,17,1,Outside Off stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
22,2.0,456,1,13,Chennai Super Kings,Devon Conway,Shivam Mavi,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,3.2,1.0,1.0,0,190202.0,86.26,-10.46,0.0,0,,30.0,ANGLED ACROSS,77.0,STEP DOWN DEFENCE,0.0,0.0,2,3.0,17,1,Leg stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
23,3.0,456,1,13,Chennai Super Kings,Devon Conway,Shivam Mavi,,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,3.3,1.0,1.0,0,190203.0,-143.04,-11.38,1.0,0,,30.0,ANGLED ACROSS,70.0,STEP DOWN PULL SHOT,0.0,0.0,3,3.0,18,1,Leg stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
24,4.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,4,4,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0.0,3.4,1.0,1.0,0,190204.0,49.88,-145.83,6.0,0,,36.0,BOUNCER,57.0,HOOK SHOT,1.0,0.0,4,3.0,24,1,Outside Off stump,Short Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
25,5.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,3.5,1.0,1.0,0,190205.0,31.92,-51.44,0.0,0,,39.0,ANGLED IN,54.0,LEG GLANCE,0.0,0.0,5,3.0,24,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
26,6.0,456,1,13,Chennai Super Kings,Robin Uthappa,Shivam Mavi,,4,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0.0,3.6,1.0,1.0,0,190206.0,58.17,-140.3,4.0,0,,39.0,ANGLED IN,46.0,FRONTFOOT PULL SHOT,0.0,0.0,6,3.0,28,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
27,1.0,456,1,13,Chennai Super Kings,Devon Conway,Umesh Yadav,,5,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1.0,4.1,1.0,1.0,0,190207.0,-49.57,113.4,0.0,0,,41.0,INSWINGER,94.0,STEP DOWN LOFTED ON DRIVE,0.0,0.0,1,4.0,28,2,Leg stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
28,2.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Umesh Yadav,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,4.2,1.0,1.0,0,190208.0,-63.85,-18.75,0.0,0,,43.0,NIPBACKER,50.0,BACKFOOT DEFENCE,0.0,0.0,2,4.0,28,2,Outside Off stump,Short of Good Length,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
29,3.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Umesh Yadav,,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,4.3,1.0,1.0,0,190209.0,-76.74,-20.59,0.0,0,,42.0,OUTSWINGER,50.0,BACKFOOT DEFENCE,0.0,0.0,3,4.0,28,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
30,4.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Umesh Yadav,,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,4.4,1.0,1.0,0,190210.0,-74.9,-2.63,0.0,0,,38.0,STRAIGHT BALL,36.0,CUT SHOT,0.0,0.0,4,4.0,28,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
31,5.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Umesh Yadav,,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,4.5,1.0,1.0,0,190211.0,77.05,77.48,1.0,0,,39.0,ANGLED IN,47.0,FRONTFOOT ON DRIVE,0.0,0.0,5,4.0,29,2,Off stump,Full Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
32,6.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,4.6,1.0,1.0,0,190212.0,-88.25,13.94,0.0,0,,38.0,STRAIGHT BALL,97.0,BACKFOOT PUSH,0.0,0.0,6,4.0,29,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
33,1.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,5.1,1.0,1.0,0,190213.0,78.89,131.35,1.0,0,,33.0,CARROM BALL,97.0,BACKFOOT PUSH,0.0,0.0,1,5.0,30,2,Outside Off stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
34,2.0,456,1,13,Chennai Super Kings,Robin Uthappa,Varun Chakaravarthy,,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,5.2,1.0,1.0,0,190214.0,72.44,137.34,1.0,0,,33.0,CARROM BALL,97.0,BACKFOOT PUSH,0.0,0.0,2,5.0,31,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
35,3.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,5.3,1.0,1.0,0,190215.0,73.36,36.5,0.0,0,,33.0,CARROM BALL,27.0,FORWARD PUSH,0.0,0.0,3,5.0,31,2,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
36,4.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,5.4,1.0,1.0,0,190216.0,-55.56,21.77,0.0,0,,33.0,CARROM BALL,49.0,FORWARD DEFENCE,0.0,0.0,4,5.0,31,2,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
37,5.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,6,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0.0,5.5,1.0,1.0,0,190217.0,56.79,-134.32,4.0,0,,33.0,CARROM BALL,95.0,SLOG SWEEP,0.0,0.0,5,5.0,35,2,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,6.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,5.6,1.0,1.0,0,190218.0,33.77,7.04,0.0,0,,26.0,FLIPPER,50.0,BACKFOOT DEFENCE,0.0,0.0,6,5.0,35,2,Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
40,1.0,456,1,13,Chennai Super Kings,Robin Uthappa,Sunil Narine,,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,6.1,1.0,1.0,0,190219.0,139.67,-28.42,1.0,0,,25.0,OFF SPIN,58.0,BACKFOOT PULL SHOT,0.0,0.0,1,6.0,36,2,Middle stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
41,2.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Sunil Narine,,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,6.2,1.0,1.0,0,190220.0,38.37,-87.35,1.0,0,,25.0,OFF SPIN,58.0,BACKFOOT PULL SHOT,0.0,0.0,2,6.0,37,2,Middle stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
42,3.0,456,1,13,Chennai Super Kings,Robin Uthappa,Sunil Narine,,7,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0.0,6.3,1.0,1.0,0,190221.0,-125.08,-56.5,2.0,0,,33.0,CARROM BALL,36.0,CUT SHOT,0.0,0.0,3,6.0,39,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
43,4.0,456,1,13,Chennai Super Kings,Robin Uthappa,Sunil Narine,,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,6.4,1.0,1.0,0,190222.0,-71.67,-21.97,0.0,0,,33.0,CARROM BALL,36.0,CUT SHOT,0.0,0.0,4,6.0,39,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
44,5.0,456,1,13,Chennai Super Kings,Robin Uthappa,Sunil Narine,,7,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,6.5,1.0,1.0,0,190223.0,88.1,114.32,1.0,0,,25.0,OFF SPIN,97.0,BACKFOOT PUSH,0.0,0.0,5,6.0,40,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
45,6.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Sunil Narine,,7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,6.6,1.0,1.0,0,190224.0,88.1,114.32,0.0,0,,33.0,CARROM BALL,50.0,BACKFOOT DEFENCE,0.0,0.0,6,6.0,40,2,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
46,1.0,456,1,13,Chennai Super Kings,Robin Uthappa,Varun Chakaravarthy,,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,7.1,1.0,1.0,0,190225.0,75.67,124.91,1.0,0,,33.0,CARROM BALL,74.0,STEP DOWN ON DRIVE,0.0,0.0,1,7.0,41,2,Off stump,Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
47,2.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,7.2,1.0,1.0,0,190226.0,-59.24,-11.84,0.0,0,,33.0,CARROM BALL,58.0,BACKFOOT PULL SHOT,0.0,0.0,2,7.0,41,2,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
48,3.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,8,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0.0,7.3,1.0,1.0,0,190227.0,-160.08,106.95,6.0,0,,33.0,CARROM BALL,15.0,LOFTED COVER DRIVE,0.0,0.0,3,7.0,47,2,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
49,4.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,7.4,1.0,1.0,0,190228.0,21.79,47.09,0.0,0,,26.0,FLIPPER,49.0,FORWARD DEFENCE,0.0,0.0,4,7.0,47,2,Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
50,5.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Varun Chakaravarthy,,8,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,7.5,1.0,1.0,0,190229.0,118.49,-19.21,1.0,0,,33.0,CARROM BALL,94.0,STEP DOWN LOFTED ON DRIVE,0.0,0.0,5,7.0,48,2,Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
51,6.0,456,1,13,Chennai Super Kings,Robin Uthappa,Varun Chakaravarthy,,8,6,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,1,Stumped,WICKET,1.0,7.6,1.0,1.0,1,190230.0,118.49,-19.21,1.0,0,,28.0,GOOGLY,54.0,LEG GLANCE,0.0,0.0,6,7.0,49,3,Outside Leg stump,Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
52,7.0,456,1,13,Chennai Super Kings,Ravindra Jadeja,Varun Chakaravarthy,,8,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,7.6,1.0,1.0,0,190231.0,-73.51,130.89,1.0,0,,33.0,CARROM BALL,27.0,FORWARD PUSH,0.0,0.0,7,7.0,50,3,Off stump,Good Length,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,
53,1.0,456,1,13,Chennai Super Kings,Ravindra Jadeja,Sunil Narine,,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,8.1,1.0,1.0,0,190232.0,63.69,145.63,1.0,0,,25.0,OFF SPIN,84.0,FRONTFOOT OFF DRIVE,0.0,0.0,1,8.0,51,3,Off stump,Good Length,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
54,2.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Sunil Narine,,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,8.2,1.0,1.0,0,190233.0,-62.46,30.06,0.0,0,,33.0,CARROM BALL,49.0,FORWARD DEFENCE,0.0,0.0,2,8.0,51,3,Off stump,Short of Good Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
55,3.0,456,1,13,Chennai Super Kings,Ambati Rayudu,Sunil Narine,,9,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,8.3,1.0,1.0,0,190234.0,75.21,60.91,1.0,0,,25.0,OFF SPIN,27.0,FORWARD PUSH,0.0,0.0,3,8.0,52,3,Off stump,Good Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
56,4.0,456,1,13,Chennai Super Kings,Ravindra Jadeja,Sunil Narine,,9,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Run Out,WICKET,0.0,8.4,1.0,1.0,0,190235.0,-58.32,75.18,0.0,0,,33.0,CARROM BALL,97.0,BACKFOOT PUSH,0.0,0.0,4,8.0,52,4,Outside Off stump,Good Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
57,5.0,456,1,13,Chennai Super Kings,Ravindra Jadeja,Sunil Narine,,9,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,8.5,1.0,1.0,0,190236.0,83.03,124.91,1.0,0,,25.0,OFF SPIN,84.0,FRONTFOOT OFF DRIVE,0.0,0.0,5,8.0,53,4,Outside Off stump,Full Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
58,6.0,456,1,13,Chennai Super Kings,Shivam Dube,Sunil Narine,,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,8.6,1.0,1.0,0,190237.0,-68.45,59.53,0.0,0,,33.0,CARROM BALL,49.0,FORWARD DEFENCE,0.0,0.0,6,8.0,53,4,Outside Off stump,Good Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
59,1.0,456,1,13,Chennai Super Kings,Ravindra Jadeja,Varun Chakaravarthy,,10,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0.0,9.1,1.0,1.0,0,190238.0,-64.77,-102.09,2.0,0,,33.0,CARROM BALL,54.0,LEG GLANCE,0.0,0.0,1,9.0,55,4,Off stump,Good Length,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
60,2.0,456,1,13,Chennai Super Kings,Ravindra Jadeja,Varun Chakaravarthy,,10,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,9.2,1.0,1.0,0,190239.0,60.93,-25.65,1.0,0,,28.0,GOOGLY,49.0,FORWARD DEFENCE,0.0,0.0,2,9.0,56,4,Outside Off stump,Good Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
61,3.0,456,1,13,Chennai Super Kings,Shivam Dube,Varun Chakaravarthy,,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,9.3,1.0,1.0,0,190240.0,-48.19,29.14,0.0,0,,33.0,CARROM BALL,49.0,FORWARD DEFENCE,0.0,0.0,3,9.0,56,4,Off stump,Good Length,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
